SubsequenceLength,CurrentIndex,K,Precision,Recall,F1-Score
24,672,40,0.5,0.012256904722993954,0.023927261126176425
24,4032,40,0.35833333333333334,0.0070272920411832,0.013784260298124702
24,8064,40,0.3559322033898305,0.006863866644876614,0.01346801346801347
24,24192,40,0.49333333333333335,0.012093479326687367,0.023608230977827403
2,2,40,0.4090909090909091,0.004412485700277823,0.008730800323362976
60,96,40,0.4090909090909091,0.004412485700277823,0.008730800323362976
48,168,40,0.524390243902439,0.0070272920411832,0.013868730849862924
48,672,40,0.735191637630662,0.034482758620689655,0.06587574149235093
48,4032,40,0.04878048780487805,0.0003268507926131721,0.0006493506493506494
48,8064,40,0.04878048780487805,0.0003268507926131721,0.0006493506493506494
48,24192,40,0.8788927335640139,0.041510050661872855,0.07927590511860175
168,4032,40,0.8631984585741811,0.07321457754535055,0.13498041578788791
168,8064,40,0.3090909090909091,0.002778231737211963,0.00550696469063816
168,24192,40,0.8477366255144033,0.03366563163915672,0.06475950958817982
672,8064,40,0.900974025974026,0.09070109495015526,0.1648106904231626
672,24192,40,0.9119318181818182,0.05245955221441412,0.09921186833565136
4032,24192,40,0.0,0.0,0.0
24,96,50,0.41916167664670656,0.011439777741461023,0.022271714922048994
24,168,50,0.42424242424242425,0.011439777741461023,0.02227880330999363
24,672,50,0.4411764705882353,0.012256904722993954,0.023851168707266657
24,4032,50,0.30714285714285716,0.0070272920411832,0.013740214091707942
24,8064,50,0.4303030303030303,0.01160320313776761,0.02259707192870783
24,24192,50,0.5228426395939086,0.01683281581957836,0.03261557948068397
2,2,50,0.5932203389830508,0.011439777741461023,0.022446689113355782
60,96,50,0.5932203389830508,0.011439777741461023,0.022446689113355782
48,168,50,0.4673913043478261,0.0070272920411832,0.013846401545644826
48,672,50,0.6925566343042071,0.034973034809609414,0.06658369632856254
48,4032,50,0.0392156862745098,0.0003268507926131721,0.0006482982171799027
48,8064,50,0.35135135135135137,0.004249060303971237,0.008396576780235749
48,24192,50,0.8494983277591973,0.041510050661872855,0.07915238392022438
168,4032,50,0.8611544461778471,0.09021081876123549,0.1633136094674556
168,8064,50,0.26153846153846155,0.002778231737211963,0.005498059508408797
168,24192,50,0.8357142857142857,0.03824154273574113,0.0731364275668073
672,8064,50,0.8924731182795699,0.09495015525412649,0.17163958641063515
672,24192,50,0.9119318181818182,0.05245955221441412,0.09921186833565136
4032,24192,50,0.0,0.0,0.0
24,96,60,0.37433155080213903,0.011439777741461023,0.022201078338090704
24,168,60,0.3804347826086957,0.011439777741461023,0.02221164524829446
24,672,60,0.39473684210526316,0.012256904722993954,0.023775558725630055
24,4032,60,0.32947976878612717,0.009315247589475405,0.018118245390972666
24,8064,60,0.4292929292929293,0.013891158686059814,0.02691150862751306
24,24192,60,0.47465437788018433,0.01683281581957836,0.032512626262626264
2,2,60,0.546875,0.011439777741461023,0.02241075716343845
60,96,60,0.5511811023622047,0.011439777741461023,0.022414345180915785
48,168,60,0.4215686274509804,0.0070272920411832,0.013824144028291274
48,672,60,0.6545454545454545,0.03529988560222259,0.06698712978756396
48,4032,60,0.639751552795031,0.01683281581957836,0.03280254777070064
48,8064,60,0.5447154471544715,0.010949501552541265,0.021467478372316565
48,24192,60,0.8263665594855305,0.042000326850792614,0.07993779160186626
168,4032,60,0.8449275362318841,0.09527700604673967,0.17124394184168013
168,8064,60,0.22666666666666666,0.002778231737211963,0.005489183080400388
168,24192,60,0.8970873786407767,0.07550253309364276,0.139282484172445
672,8064,60,0.8813813813813813,0.09593070763196601,0.17302873986735445
672,24192,60,0.9119318181818182,0.05245955221441412,0.09921186833565136
4032,24192,60,0.0,0.0,0.0
